Name;State
Albania;EE
Andorra;EE
Austria;EE
Belgium;EE
Bulgaria;EE
Czechoslovakia;EE
Vatican City;EE
Denmark;EE
Faroe (Islands);EE
Finland;EE
France;EE
Germany Democratic Republic;EE
Germany;EE
Federal Republic of Germany;EE
Gibraltar;EE
Great Britain and Northern Ireland;EE
Greece;EE
Ireland;EE
Iceland;EE
Yugoslavia;EE
Liechtenstein;EE
Luxembourg;EE
Malta;EE
Man (Island);EE
Monaco;EE
Channel Islands (Islands);EE
Norway;EE
Netherlands;EE
Republic of Poland;EE
Poland;EE
Portugal;EE
Romania;EE
San Marino;EE
Spain;EE
Sweden;EE
Switzerland;EE
Hungary;EE
Union of Soviet Socialist Republics;EE
Georgia;EE
Armenia;EE
Ukraine;EE
Belarus;EE
Moldova;EE
Azerbaijan;EE
Kyrgyzstan;EE
Uzbekistan;EE
Estonia;EE
Latvia;EE
Lithuania;EE
Tajikistan;EE
Macedonia;EE
Croatia;EE
Slovenia;EE
Turkmenistan;EE
Kazakhstan;EE
Bosnia and Herzegovina;EE
Russia;EE
Slovakia;EE
Czech Republic;EE
Serbia and Montenegro;EE
Serbia;EE
Montenegro;EE
Kosovo;EE
Palestinian Territory;EE
Afghanistan;EE
Federation Of South Arabia;EE
Protectorate Of South Arabia;EE
Saudi Arabia;EE
Bahrain;EE
Bhutan;EE
Burma;EE
Brunei;EE
Cambodia;EE
Sri Lanka;EE
Ceylon;EE
People's Republic Of China;EE
Cyprus;EE
Cocos (Islands);EE
South Korea;EE
North Korea;EE
Pirate coast;EE
United Arab Emirates;EE
Filipino;EE
The Republic of China;EE
Formosa;EE
Gaza (territory of);EE
Japan;EE
Jordan;EE
Hong Kong;EE
India;EE
Indonesia;EE
Iran;EE
Iraq;EE
Israel;EE
Kuwait;EE
Laos;EE
Lebanon;EE
Malaysia;EE
Macau;EE
Maldives;EE
Mongolia;EE
Nepal;EE
Oman;EE
Pakistan;EE
Qatar;EE
Ryukyu Islands;EE
Sikkim;EE
Syria;EE
Thailand;EE
East Timor (Island);EE
Turkey;EE
South Viet Nam;EE
North Viet Nam;EE
Yemen;EE
Malaysia;EE
Singapore;EE
Bangladesh;EE
Yemen People's Democratic Republic;EE
Viet Nam;EE
Armenia;EE
Azerbaijan;EE
Georgia;EE
Kazakhstan;EE
Kyrgyzstan;EE
Tajikistan;EE
Turkmenistan;EE
Uzbekistan;EE
South-West Africa;EE
Namibia;EE
Algeria;EE
Angola;EE
Basutoland-British South Africa;EE
Beciuania-British South Africa;EE
Burundi;EE
Cameroon;EE
Cape Verde;EE
Cape Verde (Islands);EE
Central African Republic;EE
Central Africa Republic;EE
Central African Empire;EE
Chad;EE
Comoros (Islands);EE
Comoros;EE
Congo Republic;EE
Congo Brazzaville;EE
Congo Democratic Republic;EE
Zaire;EE
Congo Leopoldville;EE
Côte D'ivoire;EE
Dahomey;EE
Benin;EE
Ethiopia;EE
Gabon;EE
Gambia;EE
Ghana;EE
Guinea;EE
Portuguese Guinea;EE
Guinea Bissau;EE
Spanish Guinea;EE
Equatorial Guinea;EE
Kenya;EE
Ifni;EE
Reunion (Island);EE
Liberia;EE
Libya;EE
Madagascar;EE
Malawi;EE
Mali;EE
Morocco;EE
Mauritania;EE
Maurice (Islands);EE
Maurizio;EE
Mozambique;EE
Niger;EE
Nigeria;EE
Egypt;EE
Rhodesia;EE
Zimbabwe;EE
Rwanda;EE
Spanish Sahara;EE
St. Helena (Island);EE
São Tomé and Príncipe;EE
São Tomé and Príncipe (Islands);EE
Seychelles;EE
Seychelles (Islands);EE
Senegal;EE
Sierra Leone;EE
Somalia;EE
French territory of Afars and Issas;EE
French Somaliland;EE
Republic Of South Africa;EE
Sudan;EE
Swaziland;EE
Swaziland-British South Africa;EE
Tanganyika;EE
Togo;EE
Tunisia;EE
Uganda;EE
Burkina;EE
Time;EE
Zambia;EE
Zanzibar;EE
Tanzania;EE
Botswana;EE
Lesotho;EE
Mayotte (Island);EE
Djibouti;EE
Southern Sahara;EE
Northern Sahara;EE
Bophuthatswana;EE
Transkei;EE
Venda;EE
Ciskei;EE
Eritrea;EE
Nyasaland;EE
Belgian Congo;EE
Bermuda (Islands);EE
Canada;EE
Greenland;EE
Saint Pierre Et Miquelon Islands;EE
United States Of America;EE
British Antilles;EE
Netherlands Antilles;EE
Bahama Islands;EE
Bahama;EE
Costa Rica;EE
Cuba;EE
Dominican Republic;EE
El Salvador;EE
Jamaica;EE
Guadeloupe;EE
Guatemala;EE
Haiti;EE
Honduras;EE
British Honduras;EE
Belize;EE
Martinique;EE
Mexico;EE
Nicaragua;EE
Panama;EE
Panama Canal zone;EE
Puerto Rico;EE
Turks and Caicos (Islands);EE
American Virgin (Islands);EE
British Antilles;EE
Barbados;EE
British Antilles;EE
Grenada;EE
British Virgin Islands;EE
Dominica;EE
Saint Lucia;EE
Saint Vincent and the Grenadines;EE
Anguilla (Island);EE
Cayman (Islands);EE
Montserrat;EE
Antigua and Barbuda;EE
Saint Kitts and Nevis;EE
Argentina;EE
Bolivia;EE
Brazil;EE
Chile;EE
Colombia;EE
Ecuador;EE
British Guyana;EE
Guyana;EE
Guayana;EE
Dutch Guiana;EE
Suriname;EE
Islas Malvinas;EE
Paraguay;EE
Peru;EE
Trinidad and Tobago;EE
Uruguay;EE
Venezuela;EE
Australia;EE
Caroline (Islands);EE
Christmas (Island);EE
Cook (Islands);EE
Fiji;EE
Gilbert And Ellice Islands (Islands);EE
Guam (Island);EE
West Irian;EE
Macquarie Islands;EE
Marcus (Islands);EE
Marianne (Islands);EE
Marshall Islands;EE
Marshall;EE
Midway Islands;EE
Nauru;EE
Nauru (Islands);EE
Niue;EE
Norfolk (Islands and Coral Sea Islands);EE
New Caledonia (Islands and dependencies);EE
New Hebrides (Islands Franco-British Condominium);EE
New Guinea;EE
New Zealand;EE
Papua;EE
Chilean Islands (Easter and Sala Y Gomez);EE
Easter (Island);EE
Pitcairn Islands (And Dependencies);EE
French Polynesia (Islands);EE
Solomon;EE
Solomon (Islands);EE
American Samoa (Island);EE
Samoa;EE
Tokelau;EE
Tonga;EE
Wallis and Futuna (Islands);EE
